"year","country","school_id","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","stu_wgt","desk","room","dishwasher","television","computer_n","car","book","wealth","escs"
"2018","ALB","800059","805376","ISCED 3A","ISCED 3A","male","yes","yes",429.666,347.71,273.827,9.30357,"yes","yes",,"2","3+","2","11-25",1.2825,0.7018
"2018","ALB","800084","802061","ISCED 3A","ISCED 3B, C","female","yes","no",435.103,427.958,460.357,3.45567,"yes","no",,"2","1","0","11-25",-2.4364,0.2091
"2018","ALB","800093","800674","ISCED 3A","ISCED 2","male","yes","yes",372.294,271.743,337.15,3.80952,"yes","yes",,"2","1","1","11-25",-1.1034,-1.1074
"2018","ALB","800278","803561","ISCED 2","ISCED 2","male","yes","yes",473.772,336.271,368.131,1.54402,"yes","yes",,"2","1","3+","26-100",-0.52,-0.4944
"2018","ALB","800055","801356","ISCED 3A","ISCED 2","female",,,441.331,408.466,418.96,2.91673,"yes","yes",,"2","0",,"0-10",-2.9037,-1.9712
"2018","ALB","800279","804382","ISCED 3A","ISCED 3A","male","yes","yes",402.099,402.166,322.163,3.54291,"yes","yes",,"3+","1","3+","more than 500",-0.1675,-0.184
"2018","ALB","800029","802763","ISCED 3A","ISCED 3B, C","female","yes","yes",368.37,350.848,342.939,6.64286,"yes","yes",,"1","1","1","26-100",-0.9672,-0.6022
"2018","ALB","800280","804476","ISCED 3A","ISCED 3B, C","female","yes","yes",513.034,452.591,481.579,3.65377,"yes","yes",,"2","2","1","more than 500",-0.2545,-0.6848
"2018","ALB","800254","805910","ISCED 2","ISCED 2","female","yes","yes",468.747,379.964,341.267,3.88095,"yes","yes",,"2","1","1","11-25",-1.2014,-1.8093
"2018","ALB","800017","800218","ISCED 1","ISCED 3A","female","yes","yes",509.21,455.645,534.956,3.35644,"yes","yes",,"1","1","0","11-25",-1.6793,-0.6674
"2018","ALB","800264","801628","ISCED 3A","ISCED 3B, C","female","yes","yes",402.513,381.502,381.386,4.60067,"yes","yes",,"3+","3+","2","26-100",2.425,1.4216
"2018","ALB","800307","803055","ISCED 3A","ISCED 3A","female","no","no",292.608,428.412,386.018,3.11767,"yes","yes",,"1","0","0","26-100",-2.3638,-1.5816
"2018","ALB","800122","802047","ISCED 2","ISCED 2","male","no","no",428.962,379.5,408.753,7.37225,"yes","yes",,"1","0","2","0-10",-2.2137,-2.0654
